brand_name,product_name,price,rating,ingredients,label
Andalou Naturals,CannaCell Happy Day Cream,19.99,2,"Aloe Barbadensis Leaf Juice, Purified Water (Aqua), Vegetable Glycerin, Dicaprylyl Carbonate, Cetyl Alcohol, Tocopherol, Glyceryl Stearate Citrate, Tapioca Starch, Myristyl Myristate, Stearic Acid, Cannabis Sativa (Hemp) Seed Oil, Magnesium Ascorbyl Phosphate (Vitamin C), Cannabis Sativa (Hemp) Cell Culture Extract, Resveratrol, Simmondsia Chinensis (Jojoba) Seed Oil, Squalane, Allantoin, Panthenol, Phenoxyethanol, Ethylhexylglycerin, Citrus Tangerina (Tangerine) Peel Oil, Citrus Aurantium (Petitgrain) Flower Oil, Anthemis Nobilis (Roman Chamomile) Flower Oil, Limonene, Linalool.",DM
e.l.f. Cosmetics,Illuminating Moisturizer SPF 15,8.00,3,"Active: Octinoxate 7.5%, Octocrylene 6%, Octisalate 5%, Oxybenzone 3%, Avobenzone 3%. Inactive: Water (Aqua), Butylene Glycol, C12-15 Alkyl Benzoate, Glycerin, Glyceryl Stearate, PEG-100 Stearate, Cetearyl Olivate, Cyclopentasiloxane, Sorbitan Olivate, Stearic Acid, Cetearyl Alcohol, Dimethicone, Phenoxyethanol, Caprylyl Glycol, Acrylates/Polytrimethylsiloxymethacrylate Copolymer, Acrylates/C10- 30 Alkyl Acrylate Crosspolymer, Triethanolamine, Fragrance (Parfum), Disodium EDTA, Bisabolol, Tocopheryl Acetate, Vitis Vinifera (Grape) Seed Oil, Saccharum Officinarum (Sugar Cane) Extract, Vaccinium Myrtillus Fruit/Leaf Extract, Citrus Sinensis (Orange) Fruit Extract, Acer Saccharum (Sugar Maple) Extract, Citrus Limon (Lemon) Fruit Extract, Synthetic Fluorphlogopite, Silica, Tin Oxide, Mica (CI 77019), Titanium Dioxide (CI 77891), Red 40 (CI 16035), Yellow 5 (CI 19140).",DM
Pond's,Clarant B3 Even Skin Tone Daily Moisturizer with Sunscreen Broad Spectrum SPF 30,9.99,3,"Active Ingredients: Octinoxate 7.0%; Zinc Oxide 6.0%; Inactive Ingredients: Water (Aqua), Glycerin, Isocetyl Stearate, Coco-Caprylate/Caprate, Cetyl Dimethicone, Styrene/Acrylates Copolymer, Cetearyl Alcohol, Dimethicone, Phenoxyethanol, Glyceryl Stearate, PEG-100 Stearate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Cyclopentasiloxane, Ceteareth-20, Polymethyl Methacrylate, Fragrance (Parfum), Polyhydroxystearic Acid, Polysilicone-11, Xanthan Gum, Acrylates/Dimethicone Copolymer, Saccharide Isomerate, Caprylyl Glycol, Ethylhexylglycerin, Disodium EDTA, Panthenol, Niacinamide, Sodium Ascorbyl Phosphate.",DM
Pond's,Rejuveness Anti-Wrinkle Daily Moisturizer with Sunscreen Broad Spectrum SPF 30,9.99,2,"Active Ingredients: Octinoxate 7.0%; Zinc Oxide 6.0%; Inactive Ingredients: Water (Aqua), Glycerin, Isocetyl Stearate, Coco-Caprylate/Caprate, Cetyl Dimethicone, Styrene/Acrylates Copolymer, Cetearyl Alcohol, Dimethicone, Phenoxyethanol, Glyceryl Stearate, PEG-100 Stearate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Cyclopentasiloxane, Ceteareth-20, Polymethyl Methacrylate, Fragrance (Parfum), Polyhydroxystearic Acid, Polysilicone-11, Xanthan Gum, Acrylates/Dimethicone Copolymer, Saccharide Isomerate, Caprylyl Glycol, Ethylhexylglycerin, Disodium EDTA, Panthenol, Hydrolyzed Collagen, Tocopheryl Acetate, Lactic Acid",DM
Cetaphil,Pro Oily Skin Oil Absorbing Moisturizer Broad Spectrum SPF 30,23.49,5,"Active Ingredients: Avobenzone 3%, Octisalate 5%, Octocrylene 7%. Inactive Ingredients: Water, Isopropyl Lauroyl Sarcosinate, Glycerin, Dimethicone, Diisopropyl Sebacate, Silica, Polymethyl Methacrylate, Aluminum Starch Octenylsuccinate, Sucrose Tristearate, Dimethiconol, Pentylene Glycol, Polysorbate 61, Sodium Stearoyl Glutamate, Phenoxyethanol, Caprylyl Glycol, Tocopheryl Acetate, Glycyrrhetinic Acid, Panthenol, Triethanolamine, Allantoin, Carbomer, Potassium Sorbate, Zinc Gluconate, Xanthan Gum, Disodium EDTA, Hydroxypalmitoyl Sphinganine (Ceramide).",DM
Aveeno,Protect + Hydrate Sunscreen Broad Spectrum SPF 50 for Face,11.99,4,"Active ingredients: Avobenzone 3%; Homosalate 10%; Octisalate 5%; Octocrylene 6%; Oxybenzone 5%. Inactive ingredients: Water, Glycerin, Silica, Cetyl Dimethicone, Dimethicone, Beeswax, Benzyl Alcohol, Ethylhexylglycerin, Glyceryl Stearate, PEG-100 Stearate, Behenyl Alcohol, Phenoxyethanol, Caprylyl Methicone, Caprylyl Glycol, Acrylates/Dimethicone Copolymer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Propylene Glycol, Chlorphenesin, Diethylhexyl 2,6-Naphthalate , Disodium EDTA, Sodium Hydroxide, Fragrance, Avena Sativa (Oat) Kernel Flour, Avena Sativa (Oat) Kernel Extract, Codium Tomentosum Extract, Hydrolyzed Oat Protein, Potassium Palmitoyl Hydrolyzed Oat Protein,",DM
Aveeno,Aveeno Baby Continuous Protection Sensitive Skin Zinc Oxide Sunscreen SPF 50 for Face,11.99,4,"Active Ingredient: Zinc Oxide 21.6%; Inactive Ingredients: Water, C12-15 Alkyl Benzoate, Styrene/Acrylates Copolymer, Octyldodecyl Citrate Crosspolymer, Phenyl Trimethicone, Cetyl PEG/PPG-10/1 Dimethicone, Dimethicone, Polyhydroxystearic Acid, Glycerin, Ethyl Methicone, Silica, Cetyl Dimethicone, Triethoxycaprylylsilane, Phenoxyethanol, Glyceryl Behenate, Sodium Chloride, Acrylates/Dimethicone Copolymer, Chlorphenesin, Phenethyl Alcohol, Avena Sativa (Oat) Kernel Flour, Caprylyl Glycol, Cetyl Dimethicone/Bis-Vinyldimethicone Crosspolymer, Chrysanthemum Parthenium (Feverfew) Flower/Leaf/Stem Juice.",DM
Supergoop!,Superscreen Daily Moisturizer Broad Spectrum SPF 40,38.00,3,"Active: Avobenzone (2.5%), Homosalate (8%), Octisalate (5%). Water, Carthamus Tinctorius (Safflower) Oleosomes, Glycerin, C12-15 Alkyl Benzoate, Polyester-7, Ammonium Acryloyldimethyltaurate/VP Copolymer, Neopentyl Glycol Diheptanoate, Carthamus Tinctorius (Safflower) Seedcake Extract, Aphanizomenon Flos-Aquae Extract, Inulin Lauryl Carbamate, Xanthan Gum, Biosaccharide Gum-4, Cerium Oxide, Platinum Powder, 1,2-Hexanediol, Ethylhexylglycerin, Phenethyl Alcohol, Chlorphenesin.",DM
Bare Minerals (Bare Escentuals),Skinlongevity Vital Power Moisturizer Broad Spectrum SPF 30,36.00,4,"Active Ingredients: Titanium Dioxide 3.28%; Zinc Oxide 12.506%. Inactive Ingredients: Water, C9-12 Alkane, Dimethicone, Propanediol, Glycerin, PEG-32, PEG-6, Polyglyceryl-4 Laurate/Succinate, Polysorbate 60, Peucedanum Japonicum Leaf/Stem Extract, Paeonia Lactiflora Root Extract, Coffea Arabica (Coffee) Seed Oil, Decyl Isostearate, Coco-Caprylate/Caprate, Isohexadecane, Isostearyl Isostearate, Aminopropyl Dimethicone, Cetyl Stearate, Succinoglycan, Caprylyl Glycol, Tocopherol, Dimethylacrylamide/Sodium Acryloyldimethyltaurate Crosspolymer, Polyacrylate Crosspolymer-6, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Methyl Stearoyl Taurate, Potassium Cetyl Phosphate, Sorbitan Sesquiisostearate, Polysorbate 80, Stearic Acid, Sorbitan Oleate, Decyl Glucoside, Isostearic Acid, Hexylene Glycol, T-Butyl Alcohol, Butylene Glycol, Polysilicone-11, Hydrogen Dimethicone, Silica, Sodium Citrate, Triethoxycaprylylsilane, Aluminum Hydroxide, Alcohol, Disodium EDTA, Trehalose, Potassium Sorbate, Citric Acid, VP/Eicosene Copolymer, Cetyl Alcohol, Cellulose Gum, Fragrance, Geraniol, Linalool, Limonene, Citral, Sodium Benzoate, Phenoxyethanol. May Contain: Mica, Titanium Dioxide.",DM
Estee Lauder,Perfectionist Pro MultiDefense UV Fluid Broad Spectrum SPF 45 & Anti-Oxidants,47.00,4,"Active Ingredients: Titanium Dioxide 6.3%; Zinc Oxide 4.0%; Inactive Ingredients: WaterAquaEau, Dimethicone, Butyloctyl Salicylate, C12-15 Alkyl Benzoate, Methyl Trimethicone, Isononyl Isononanoate, Diethylhexyl Succinate, Neopentyl Glycol Diheptanoate, Butylene Glycol, Dipentaerythrityl Tri-Polyhydroxystearate, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Silica, Trimethylsiloxysilicate, Cetyl PEG/PPG-10/1 Dimethicone, Hydroxyapatite, Polygonum Cuspidatum Root Extract, Hordeum Vulgare (Barley) ExtractExtrait D'Orge, Triticum Vulgare (Wheat) Germ Extract, Thermus Thermophillus Ferment, Sodium Hyaluronate, Opuntia Tuna Extract, Lilium Tigrinum Extract, Algae Extract, Camellia Sinensis (Green Tea) Leaf Extract, Anthemis Nobilis (Chamomile) Flower Extract, Caffeine, Tocopheryl Acetate, Ergothioneine, Squalane, Glycerin, Dimethicone Silylate, Hydrolyzed Wheat Protein/PVP Crosspolymer, Dimethicone Crosspolymer-3, Glyceryl Behenate/Eicosadioate, Stearalkonium Hectorite, Caprylyl Glycol, Isostearic Acid, Polyhydroxystearic Acid, Tetrahexyldecyl Ascorbate, Dipropylene Glycol, Triethoxycaprylylsilane, Ethylbisiminomethylguaiacol Manganese Chloride, Cyclodextrin, Dimethicone/PEG-10/15 Crosspolymer, Isopropyl Myristate, Propylene Carbonate, BHT, Phenoxyethanol, Red 28 Lake (Ci 45410), Blue 1 Lake (Ci 42090) .",DM
